Sku,ImageHeight,ImageWidth
517059,1600,1147
535146,253,1600
103978,1600,1243
103979,1600,1238
103980,1600,1241
103981,1600,1247
103982,1600,1238
103983,1600,1244
103984,1600,1222
103985,1600,1222
103986,1600,1238
103987,1600,1236
103988,1600,1220
103989,1600,1220
103990,1600,1220
103991,1600,1222
103992,1600,1238
103993,1600,1220
103994,1600,1234
103995,1600,1232
103996,1600,1234
103997,1600,1224
103998,1600,1232
