Sku,ImageHeight,ImageWidth,Ratio,Aspect Ratio,Height1,Width1,SqIn1,SizeName1,UniqueSku1,Price1,Height2,Width2,SqIn2,SizeName2,UniqueSku2,Price2,Height3,Width3,SqIn3,SizeName3,UniqueSku3,Price3,Height4,Width4,SqIn4,SizeName4,UniqueSku4,Price4,Height5,Width5,SqIn5,SizeName5,UniqueSku5,Price5,Height6,Width6,SqIn6,SizeName6,UniqueSku6,Price6
517059,1600.0,1147.0,1.375,11:8,18.0,24,432.0,24in x 18in,517059_2418,39.99,24,33.0,792.0,33in x 24in,517059_3324,59.99,36,50.0,1800.0,50in x 36in,517059_5036,119.99
535146,253.0,1600.0,6.32,outlier,7.0,44,308.0,44in x 7in,535146_4407,29.99
103978,1600.0,1243.0,1.25,5:4,18.0,24,432.0,24in x 18in,103978_2418,39.99,24,30.0,720.0,30in x 24in,103978_3024,59.99,36,45.0,1620.0,45in x 36in,103978_4536,109.99
103979,1600.0,1238.0,1.25,5:4,18.0,24,432.0,24in x 18in,103979_2418,39.99,24,30.0,720.0,30in x 24in,103979_3024,59.99,36,45.0,1620.0,45in x 36in,103979_4536,109.99
103980,1600.0,1241.0,1.25,5:4,18.0,24,432.0,24in x 18in,103980_2418,39.99,24,30.0,720.0,30in x 24in,103980_3024,59.99,36,45.0,1620.0,45in x 36in,103980_4536,109.99
103981,1600.0,1247.0,1.25,5:4,18.0,24,432.0,24in x 18in,103981_2418,39.99,24,30.0,720.0,30in x 24in,103981_3024,59.99,36,45.0,1620.0,45in x 36in,103981_4536,109.99
103982,1600.0,1238.0,1.25,5:4,18.0,24,432.0,24in x 18in,103982_2418,39.99,24,30.0,720.0,30in x 24in,103982_3024,59.99,36,45.0,1620.0,45in x 36in,103982_4536,109.99
103983,1600.0,1244.0,1.25,5:4,18.0,24,432.0,24in x 18in,103983_2418,39.99,24,30.0,720.0,30in x 24in,103983_3024,59.99,36,45.0,1620.0,45in x 36in,103983_4536,109.99
103984,1600.0,1222.0,1.33,4:3,18.0,24,432.0,24in x 18in,103984_2418,39.99,24,32.0,768.0,32in x 24in,103984_3224,59.99,36,48.0,1728.0,48in x 36in,103984_4836,109.99
103985,1600.0,1222.0,1.33,4:3,18.0,24,432.0,24in x 18in,103985_2418,39.99,24,32.0,768.0,32in x 24in,103985_3224,59.99,36,48.0,1728.0,48in x 36in,103985_4836,109.99
103986,1600.0,1238.0,1.25,5:4,18.0,24,432.0,24in x 18in,103986_2418,39.99,24,30.0,720.0,30in x 24in,103986_3024,59.99,36,45.0,1620.0,45in x 36in,103986_4536,109.99
103987,1600.0,1236.0,1.25,5:4,18.0,24,432.0,24in x 18in,103987_2418,39.99,24,30.0,720.0,30in x 24in,103987_3024,59.99,36,45.0,1620.0,45in x 36in,103987_4536,109.99
103988,1600.0,1220.0,1.33,4:3,18.0,24,432.0,24in x 18in,103988_2418,39.99,24,32.0,768.0,32in x 24in,103988_3224,59.99,36,48.0,1728.0,48in x 36in,103988_4836,109.99
103989,1600.0,1220.0,1.33,4:3,18.0,24,432.0,24in x 18in,103989_2418,39.99,24,32.0,768.0,32in x 24in,103989_3224,59.99,36,48.0,1728.0,48in x 36in,103989_4836,109.99
103990,1600.0,1220.0,1.33,4:3,18.0,24,432.0,24in x 18in,103990_2418,39.99,24,32.0,768.0,32in x 24in,103990_3224,59.99,36,48.0,1728.0,48in x 36in,103990_4836,109.99
103991,1600.0,1222.0,1.33,4:3,18.0,24,432.0,24in x 18in,103991_2418,39.99,24,32.0,768.0,32in x 24in,103991_3224,59.99,36,48.0,1728.0,48in x 36in,103991_4836,109.99
103992,1600.0,1238.0,1.25,5:4,18.0,24,432.0,24in x 18in,103992_2418,39.99,24,30.0,720.0,30in x 24in,103992_3024,59.99,36,45.0,1620.0,45in x 36in,103992_4536,109.99
103993,1600.0,1220.0,1.33,4:3,18.0,24,432.0,24in x 18in,103993_2418,39.99,24,32.0,768.0,32in x 24in,103993_3224,59.99,36,48.0,1728.0,48in x 36in,103993_4836,109.99
103994,1600.0,1234.0,1.25,5:4,18.0,24,432.0,24in x 18in,103994_2418,39.99,24,30.0,720.0,30in x 24in,103994_3024,59.99,36,45.0,1620.0,45in x 36in,103994_4536,109.99
103995,1600.0,1232.0,1.25,5:4,18.0,24,432.0,24in x 18in,103995_2418,39.99,24,30.0,720.0,30in x 24in,103995_3024,59.99,36,45.0,1620.0,45in x 36in,103995_4536,109.99
103996,1600.0,1234.0,1.25,5:4,18.0,24,432.0,24in x 18in,103996_2418,39.99,24,30.0,720.0,30in x 24in,103996_3024,59.99,36,45.0,1620.0,45in x 36in,103996_4536,109.99
103997,1600.0,1224.0,1.33,4:3,18.0,24,432.0,24in x 18in,103997_2418,39.99,24,32.0,768.0,32in x 24in,103997_3224,59.99,36,48.0,1728.0,48in x 36in,103997_4836,109.99
103998,1600.0,1232.0,1.25,5:4,18.0,24,432.0,24in x 18in,103998_2418,39.99,24,30.0,720.0,30in x 24in,103998_3024,59.99,36,45.0,1620.0,45in x 36in,103998_4536,109.99
103999,1600.0,1234.0,1.25,5:4,18.0,24,432.0,24in x 18in,103999_2418,39.99,24,30.0,720.0,30in x 24in,103999_3024,59.99,36,45.0,1620.0,45in x 36in,103999_4536,109.99
104000,1600.0,1230.0,1.25,5:4,18.0,24,432.0,24in x 18in,104000_2418,39.99,24,30.0,720.0,30in x 24in,104000_3024,59.99,36,45.0,1620.0,45in x 36in,104000_4536,109.99
