Sku,ImageHeight,ImageWidth
560296,1200,1114
579209,1200,1114
579995,1200,1110
581146,1082,1200
580592,1083,1200
580964,1083,1200
560439,1084,1200
579900,1084,1200
580965,1085,1200
581062,1085,1200
560357,1087,1200
579950,1087,1200
580930,1087,1200
582405,1088,1200
579197,1091,1200
560425,1092,1200
580970,1092,1200
579195,1093,1200
579223,1093,1200
581147,1093,1200
582127,1095,1200
579925,1096,1200
579192,1097,1200
581353,1098,1200
579250,1099,1200
580404,1099,1200
582574,1100,1200
560358,1104,1200
580978,1106,1200
578851,1107,1200
559956,1113,1200
578955,1113,1200
560570,1115,1200
582051,1200,1126
579023,1200,1125
582408,1200,1125
581655,1200,1122
581654,1200,1121
560404,1200,1119
581581,1200,1119
581574,1200,1117
581652,1200,1117
579451,1200,1167
579994,1200,1159
582049,1200,1158
560119,1200,1155
581582,1200,1155
581559,1200,1154
579997,1200,1152
582407,1200,1152
582050,1200,1151
579326,1200,1150
581158,1200,1150
579999,1200,1148
581653,1200,1143
582406,1200,1138
559754,1200,1136
579514,1200,1136
582409,1200,1132
579706,1200,1131
579992,1200,1199
582720,1200,1196
560644,1200,1195
581508,1200,1195
579170,1200,1193
580044,1200,1192
559806,1200,1191
579808,1200,1191
560220,1200,1190
560628,1200,1189
582753,1200,1189
579325,1200,1187
581509,1200,1186
582719,1200,1182
582119,1200,1180
580002,1200,1179
579207,1200,1176
582132,1177,1200
580570,1178,1200
579983,1187,1200
579324,1191,1200
559807,1194,1200
560526,1194,1200
580043,1196,1200
580045,1196,1200
580250,1196,1200
581528,1198,1200
580046,1199,1200
579247,1130,1200
581009,1132,1200
580003,1140,1200
579993,1141,1200
582220,1145,1200
581578,1146,1200
580346,1151,1200
580967,1151,1200
582221,1153,1200
578850,1154,1200
579707,1162,1200
580001,1166,1200
579986,1167,1200
582219,1168,1200
580772,1118,1200
579962,1119,1200
580969,1119,1200
578849,1120,1200
582078,1120,1200
579923,1123,1200
581553,1123,1200
582224,1123,1200
581524,1124,1200
579016,297,1200
582845,360,1200
581980,363,1200
579243,377,1200
579328,415,1200
579360,424,1200
582133,444,1200
582774,465,1200
581070,475,1200
581510,479,1200
579335,496,1200
579169,501,1200
581876,509,1200
580227,516,1200
579420,519,1200
580490,523,1200
581639,525,1200
581341,1200,379
579234,819,1200
580707,819,1200
580997,819,1200
582312,819,1200
560396,820,1200
560541,820,1200
