Sku,Image Name,ImageHeight,ImageWidth,ratio
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01769.jpg,H01769.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01769.jpg,H01769.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01770.jpg,H01770.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01770.jpg,H01770.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01771.jpg,H01771.jpg,797,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01771.jpg,H01771.jpg,797,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01772.jpg,H01772.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01772.jpg,H01772.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01773.jpg,H01773.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01773.jpg,H01773.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01775.jpg,H01775.jpg,838,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01775.jpg,H01775.jpg,838,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01777.jpg,H01777.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01777.jpg,H01777.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01778.jpg,H01778.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01778.jpg,H01778.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01779.jpg,H01779.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01779.jpg,H01779.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01780.jpg,H01780.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01780.jpg,H01780.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01781.jpg,H01781.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01781.jpg,H01781.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01782.jpg,H01782.jpg,746,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01782.jpg,H01782.jpg,746,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01784.jpg,H01784.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01784.jpg,H01784.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01785.jpg,H01785.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01785.jpg,H01785.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01786.jpg,H01786.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01786.jpg,H01786.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01787.jpg,H01787.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01787.jpg,H01787.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01788.jpg,H01788.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01788.jpg,H01788.jpg,768,1024,0.8
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01789.jpg,H01789.jpg,748,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01789.jpg,H01789.jpg,748,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01791.jpg,H01791.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/Highsmith_09_19_16_26k/H01791.jpg,H01791.jpg,767,1024,0.7
p:/04_Highsmith_Uploads_Folders/04_Amazon_Highsmith_09_19_16_9998k/H01846.jpg,H01846.jpg,1024,779,1.3
